,plus,mcmullen,state,locality,name,type,founding_date,em,ml,ce,de,sz,ld,vs,period
8215,3347,12852,VT,Burlington,Burlington Lyceum,Lyceum,1852,NA,1852,NA,NA,0,NA,0,Antebellum
8216,5408,6840,VT,Burlington,Univ. of Vermont - University Institute Society,Coll socy,NA,1858,1858,NA,1858,1500,1858,1500,NA
8217,5406,6839,VT,Burlington,University of Vermont - Society for Religious Inquiry,Coll socy,1830,NA,1875,NA,1857,534,1875,2500,Antebellum
8218,7190,95134,VT,Burlington,St. Paul's Church Parish Library,Church,NA,1847,1847,NA,NA,0,NA,0,NA
8219,5893,6516,VT,Burlington,University of Vermont College Library,Coll,1800,NA,1884,NA,1834,1000,1875,13521,Early National
8220,7191,6515,VT,Burlington,Parish Library - First Unitarian Church,Church,1823,NA,1884,NA,1875,1250,1875,1250,Early National
8221,5409,6838,VT,burlington,University of Vermont - Phi Sigma Nu Society,Coll socy,1823,NA,1857,NA,1857,1874,1857,1874,Early National
8222,5892,12853,VT,Burlington,University of Vermont College of Medicine Library,Med coll,1823,NA,1957,NA,NA,0,NA,0,Early National
8223,7188,95132,VT,Burlington,First Congregational Church,Church,NA,1873,1879,NA,NA,0,NA,0,NA
8224,388,6518,VT,Calais,Circulating Library,Socl,1832,NA,1884,NA,NA,0,NA,0,Antebellum
8225,7965,6519,VT,Cavendish,Fletcher Library,Public,1868,NA,1884,NA,1875,3200,1875,3200,NA
8226,395,99038,VT,Cavendish,,Socl,NA,NA,NA,NA,NA,0,NA,0,NA
8227,389,6521,VT,Chelsea,Library Assoc.,Socl,1842,NA,1884,NA,1875,400,1875,400,Antebellum
8228,2803,6520,VT,Chelsea,Chelsea Ladies' Library,Ladies,1864,NA,1884,NA,NA,0,NA,0,NA
8229,390,99039,VT,Chester,,Socl,NA,NA,NA,NA,NA,0,NA,0,NA
8230,4874,6522,VT,Chester,Hoyt's Circulating Library,Comm,NA,1875,1875,NA,1875,500,1875,500,NA
