,plus,mcmullen,state,locality,name,type,founding_date,em,ml,ce,de,sz,ld,vs,period,location,lon,lat
4155,8833,52585,MI,Schoocraft,Schoocraft Township Library,Town,NA,1857,1858,NA,NA,0,NA,0,NA,Schoocraft MI,-85.6377776,42.1142107
4156,8835,52587,MI,Scipio,Scipio Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Scipio MI,-84.6583745,42.0431051
4157,8836,3526,MI,Sebewaing,Sevewaing Township Library,Town,1858,NA,1884,NA,NA,0,NA,0,Antebellum,Sebewaing MI,-83.4510724,43.7322394
4158,8837,52588,MI,Seneca,Seneca Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Seneca MI,-88.3617773,47.3138105
4159,8838,52589,MI,Seweba,Seweba Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Seweba MI,-85.0025539,42.8134235
4160,8839,52590,MI,Sharon,Sharon Township Library,Town,NA,1855,1860,NA,NA,0,NA,0,NA,Sharon MI,-84.0801613,42.2216618
4161,8840,52591,MI,Shelby,Shelby Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Shelby MI,-83.0329934,42.670782
4162,8841,52592,MI,Sheridan,Sheridan Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Sheridan MI,-85.0736264,43.2122541
4163,8842,52593,MI,Sherman,Sherman Township Library,Town,NA,1855,1857,NA,NA,0,NA,0,NA,Sherman MI,-85.0441304,43.6645149
4164,8843,52594,MI,Sherwood,Sherwood Township Library,Town,NA,1857,1858,NA,NA,0,NA,0,NA,Sherwood MI,-85.2385898,42.0014374
4165,8834,52586,MI,Shiawassee,Shiawassee Township Library,Town,NA,1855,1860,NA,NA,0,NA,0,NA,Shiawassee MI,-84.1857115,42.949754
4166,8844,52595,MI,Shiawassee,Shiawassee Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Shiawassee MI,-84.1857115,42.949754
4167,8845,3527,MI,Siddons,Grant Township Library,Town,1871,NA,1884,NA,NA,0,NA,0,NA,Siddons MI,-85.6023643,44.3148443
4168,8846,52596,MI,Silver Creek,Silver Creek Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Silver Creek MI,-86.1548269,42.0337398
4169,8847,52597,MI,Solon,Solon Township Library,Town,NA,1857,1858,NA,NA,0,NA,0,NA,Solon MI,-85.7611935,44.8094443
4170,8848,52598,MI,Somerset,Somerset Township Library,Town,NA,1857,1858,NA,NA,0,NA,0,NA,Somerset MI,-84.3766152,42.0483765
4171,8850,52600,MI,South Haven,South Haven Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,South Haven MI,-86.2736407,42.4030865
4172,8849,52599,MI,Southfield,Southfield Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Southfield MI,-83.2218731,42.4733688
4173,8851,52601,MI,Sparta,Sparta Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Sparta MI,-85.7100393,43.1608578
4174,8852,52602,MI,Speaker,Speaker Township Library,Town,NA,1858,1860,NA,NA,0,NA,0,NA,Speaker MI,-82.8040983,43.2050252
4175,8853,52603,MI,Spring Arbor,Spring Arbor Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Spring Arbor MI,-84.5527387,42.2050383
4176,8855,3529,MI,Spring Lake,Spring Lake Township Library,Town,NA,1858,1884,NA,NA,0,NA,0,NA,Spring Lake MI,-86.1969971,43.0769625
4177,4193,3528,MI,Spring?,Central Lodge Library,Frat,NA,1858,1858,NA,NA,0,NA,0,NA,Spring? MI,-83.3381353,42.5063304
4178,8854,52604,MI,Springfield,Springfield Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Springfield MI,-85.2391614,42.3264298
4179,8856,52605,MI,Springport,Springport Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Springport MI,-84.6985883,42.378372
4180,8857,52606,MI,Springwells,Springwells Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA,Springwells MI,-83.1273705,42.3108826
4181,8821,52576,MI,St. Charles,St. Charles Township Library,Town,NA,1855,1860,NA,NA,0,NA,0,NA,St. Charles MI,-84.1428734,43.2994596
4182,8823,3522,MI,St. Clair,St. Clair Township Library,Town,1853,NA,1884,NA,NA,0,NA,0,Antebellum,St. Clair MI,-82.486024,42.8208653
4183,2872,3521,MI,St. Clair,Ladies' Library Assoc.,Wn socy,1869,NA,1876,NA,1869,140,1875,730,NA,St. Clair MI,-82.486024,42.8208653
4184,8822,52577,MI,St. Clair City,St. Clair City Township Library,Town,NA,1858,1860,NA,NA,0,NA,0,NA,St. Clair City MI,-82.486024,42.8208653
