Name,Organization,Year Elected
Thomas Munroe,Columbian Institute for the Promotion of Arts and Sciences,1816
William Prout,Columbian Institute for the Promotion of Arts and Sciences,1816
Phineas Bradley,Columbian Institute for the Promotion of Arts and Sciences,1816
Timothy Winn,Columbian Institute for the Promotion of Arts and Sciences,1816
Daniel McKeown,Columbian Institute for the Promotion of Arts and Sciences,1816
George Wayyerston,Columbian Institute for the Promotion of Arts and Sciences,1816
William Fatham,Columbian Institute for the Promotion of Arts and Sciences,1816
David Crawford,Columbian Institute for the Promotion of Arts and Sciences,1816
William Grayson,Columbian Institute for the Promotion of Arts and Sciences,1816
Francis Scott Key,Columbian Institute for the Promotion of Arts and Sciences,1816
Josiah Meigs,Columbian Institute for the Promotion of Arts and Sciences,1817
Asbury Dickens,Columbian Institute for the Promotion of Arts and Sciences,1817
Rudolph Schaer,Columbian Institute for the Promotion of Arts and Sciences,1817
B.L. Lear,Columbian Institute for the Promotion of Arts and Sciences,1817
B. Hamans,Columbian Institute for the Promotion of Arts and Sciences,1817
George Bomford,Columbian Institute for the Promotion of Arts and Sciences,1817
George W. May,Columbian Institute for the Promotion of Arts and Sciences,1817
Osborne Sprigg,Columbian Agricultural Society,1812
Thompson Mason,Columbian Agricultural Society,1812
David Wiley,Columbian Agricultural Society,1812
John Mason,Columbian Agricultural Society,1812
Charles Carroll,Columbian Agricultural Society,1812
Joseph Kent,Columbian Agricultural Society,1812
George Washington Parke Custis,Columbian Agricultural Society,1812
David Wiley,Columbian Agricultural Society,1812
John Teackle,Columbian Agricultural Society,1812
Nathan Lufborough,Columbian Agricultural Society,1812
Henry Maynadier,Columbian Agricultural Society,1812
Edward Lloyd,Columbian Agricultural Society,1812
Upton Scott,Columbian Agricultural Society,1812
John Shaafe,Columbian Agricultural Society,1812
Arthur Shaafe,Columbian Agricultural Society,1812
John F. Mercer,Columbian Agricultural Society,1812
Tench Ringgold,Columbian Agricultural Society,1812
William Crawford,Columbian Agricultural Society,1812
William Mason,Columbian Agricultural Society,1812
Nicholas Snowden,Columbian Agricultural Society,1812
John M. Gantt,Columbian Agricultural Society,1812
Joseph Cross,Columbian Agricultural Society,1812
Charles Ridgely,Columbian Agricultural Society,1812
H. Leven Powell,Columbian Agricultural Society,1812
Isaac Duckett,Columbian Agricultural Society,1812
Henry Gaither,Columbian Agricultural Society,1812
Charles C. Jones,Columbian Agricultural Society,1812
Thomas McKenney,Columbian Agricultural Society,1812
Charles Worthington,Columbian Agricultural Society,1812
Joel Barlow,Columbian Agricultural Society,1812
Robert Graham,Columbian Agricultural Society,1812
Alexander Henderson,Columbian Agricultural Society,1812
John Williams,Columbian Agricultural Society,1812
George Graham,Columbian Agricultural Society,1812
George Mason,Columbian Agricultural Society,1812
Henry Foxall,Columbian Agricultural Society,1812
John Threlkeld,Columbian Agricultural Society,1812
William Marbury,Columbian Agricultural Society,1812
John Cox,Columbian Agricultural Society,1812
Washington Bowie,Columbian Agricultural Society,1812
Thomas Corcoran,Columbian Agricultural Society,1812
William Whann,Columbian Agricultural Society,1812
Thomas Peter,Columbian Agricultural Society,1812
Marsham Waring,Columbian Agricultural Society,1812
James Dunlap,Columbian Agricultural Society,1812
Walter Smith,Columbian Agricultural Society,1812
William Lee,Columbian Agricultural Society,1812
A.L. Joncherez,Columbian Agricultural Society,1812
John W. Bronaugh,Columbian Agricultural Society,1812
Thomas Davis,Columbian Agricultural Society,1812
John C. Thomas,Columbian Agricultural Society,1812
Richard Snowden,Columbian Agricultural Society,1812
Thomas Snowden,Columbian Agricultural Society,1812
Joseph Nourse,Columbian Agricultural Society,1812
George Calvert,Columbian Agricultural Society,1812
John Cook,Columbian Agricultural Society,1812
Daniel C. Brent,Columbian Agricultural Society,1812
Isaac Briggs,Columbian Agricultural Society,1812
Bernard Gilpin,Columbian Agricultural Society,1812
Roger Brooke,Columbian Agricultural Society,1812
Thomas Semmes,Medical Society of the District of Columbia,1819
Gustavas A. Brown,Medical Society of the District of Columbia,1819
William Thornton,Medical Society of the District of Columbia,1820
Nathaniel Pope Causin,Medical Society of the District of Columbia,1820
Edward Cutbush,Medical Society of the District of Columbia,1820
Joseph Lovell,Medical Society of the District of Columbia,1822
Charles F. Wilstack,Medical Society of the District of Columbia,1824
J. S. Gunnell,Medical Society of the District of Columbia,1824
Bailey Washington,Medical Society of the District of Columbia,1824
James M. Stoughton,Medical Society of the District of Columbia,1825
John B. Blake,Medical Society of the District of Columbia,1826
Thomas C. Scott,Medical Society of the District of Columbia,1827
Joshua Riley,Medical Society of the District of Columbia,1827
Thomas Sewall,Medical Society of the District of Columbia,1830
Richmond Johnson,Medical Society of the District of Columbia,1834
Harvey Lindsly,Medical Society of the District of Columbia,1834
Thomas Miller,Medical Society of the District of Columbia,1835
Samuel L. Mitchill,Medical Society of the District of Columbia,1819
John Spence,Medical Society of the District of Columbia,1819
