M. E. Geoffroy St. Hilaire,Academy of Natural Sciences,1818,Member,Corresponding
Ezekiel Holmes,Academy of Natural Sciences,1826,Member,Corresponding
Charles Joseph Van Hoorebeke,Academy of Natural Sciences,1821,Member,Corresponding
David Hosack,Academy of Natural Sciences,1815,Member,Corresponding
John Edward Holbrook,Academy of Natural Sciences,1832,Member,Corresponding
Robert Hooper,Academy of Natural Sciences,1834,Member,Corresponding
William Jackson Hooker,Academy of Natural Sciences,1821,Member,Corresponding
Thomas Horsfield,Academy of Natural Sciences,1826,Member,Corresponding
David Hunt,Academy of Natural Sciences,1815,Member,Corresponding
William Cobb Hurry,Academy of Natural Sciences,1832,Member,Corresponding
Ansel W. Ives,Academy of Natural Sciences,1817,Member,Corresponding
Joseph Jansen,Academy of Natural Sciences,1816,Member,Corresponding
William Jackson,Academy of Natural Sciences,1814,Member,Corresponding
Charles T. Jackson,Academy of Natural Sciences,1833,Member,Corresponding
Robert Jameson,Academy of Natural Sciences,1822,Member,Corresponding
William James,Academy of Natural Sciences,1814,Member,Corresponding
Edwin James,Academy of Natural Sciences,1823,Member,Corresponding
John C. Jay,Academy of Natural Sciences,1835,Member,Corresponding
John Carmichael Jenkins,Academy of Natural Sciences,1836,Member,Corresponding
Thomas Jefferson,Academy of Natural Sciences,1818,Member,Corresponding
William Jones,Academy of Natural Sciences,1817,Member,Corresponding
M. A. L. de Jussieu,Academy of Natural Sciences,1818,Member,Corresponding
Alexander A. T. C. Keech,Academy of Natural Sciences,1816,Member,Corresponding
M. Pierre-Andre Latreille,Academy of Natural Sciences,1817,Member,Corresponding
M. Laugier,Academy of Natural Sciences,1818,Member,Corresponding
William Lawrence,Academy of Natural Sciences,1818,Member,Corresponding
B. G. E. de la Ville,Academy of Natural Sciences,1812,Member,Corresponding
Count Lakanal,Academy of Natural Sciences,1816,Member,Corresponding
Chev. de Lamarck,Academy of Natural Sciences,1818,Member,Corresponding
M. J. L. Laporte,Academy of Natural Sciences,1832,Member,Corresponding
Justus Le Beau,Academy of Natural Sciences,1833,Member,Corresponding
M. R. P. Lesson,Academy of Natural Sciences,1832,Member,Corresponding
Karl Caesar von Leonard,Academy of Natural Sciences,1824,Member,Corresponding
James Leighton,Academy of Natural Sciences,1824,Member,Corresponding
William Elford Leach,Academy of Natural Sciences,1821,Member,Corresponding
M. Lefroy,Academy of Natural Sciences,1817,Member,Corresponding
Joel Lewis,Academy of Natural Sciences,1815,Member,Corresponding
Henry Lee,Academy of Natural Sciences,1816,Member,Corresponding
M. Leman,Academy of Natural Sciences,1817,Member,Corresponding
Louis L'Herminier,Academy of Natural Sciences,1817,Member,Corresponding
Algernon Sidney Logan,Academy of Natural Sciences,1815,Member,Corresponding
Stephen H. Long,Academy of Natural Sciences,1817,Member,Corresponding
Joseph Lovell,Academy of Natural Sciences,1823,Member,Corresponding
Guillaume Lobe,Academy of Natural Sciences,1836,Member,Corresponding
M. J. A. H. Lucas,Academy of Natural Sciences,1817,Member,Corresponding
Wm. J. Macnevin,Academy of Natural Sciences,1814,Member,Corresponding
Julien Magnanos,Academy of Natural Sciences,1812,Member,Corresponding
M. Mangouri,Academy of Natural Sciences,1812,Member,Corresponding
Patrick Macaulay,Academy of Natural Sciences,1816,Member,Corresponding
C. F. P. Von Martius,Academy of Natural Sciences,1832,Member,Corresponding
M. Ch. Martins,Academy of Natural Sciences,1833,Member,Corresponding
Ephraim McDowell,Academy of Natural Sciences,1813,Member,Corresponding
James McFadyen,Academy of Natural Sciences,1835,Member,Corresponding
James MacCulloch,Academy of Natural Sciences,1829,Member,Corresponding
William McGillivray,Academy of Natural Sciences,1831,Member,Corresponding
William Sharp Mac Leay,Academy of Natural Sciences,1836,Member,Corresponding
 Fred. Val. Melsheimer,Academy of Natural Sciences,1813,Member,Corresponding
M. Johan Menger,Academy of Natural Sciences,1822,Member,Corresponding
M. Mercier,Academy of Natural Sciences,1812,Member,Corresponding
Herman de Meyer,Academy of Natural Sciences,1832,Member,Corresponding
M. Champvert Montral,Academy of Natural Sciences,1812,Member,Corresponding
T. Milbert,Academy of Natural Sciences,1821,Member,Corresponding
M. A. F. Miot,Academy of Natural Sciences,1825,Member,Corresponding
Samuel L. Mitchill,Academy of Natural Sciences,1812,Member,Corresponding
Elisha Mitchell,Academy of Natural Sciences,1832,Member,Corresponding
M. F. J. Michaux,Academy of Natural Sciences,1818,Member,Corresponding
M. S. G. V. de Moleon,Academy of Natural Sciences,1833,Member,Corresponding
Valentine Mott,Academy of Natural Sciences,1814,Member,Corresponding
Thomas W. Montgomery,Academy of Natural Sciences,1814,Member,Corresponding
Alexander Montgomery,Academy of Natural Sciences,1814,Member,Corresponding
M. Noel de la Morinier,Academy of Natural Sciences,1819,Member,Corresponding
James W. Murray,Academy of Natural Sciences,1814,Member,Corresponding
Henry Muhlenberg,Academy of Natural Sciences,1812,Member,Corresponding
M. Charles Mylius,Academy of Natural Sciences,1822,Member,Corresponding
William Oakes,Academy of Natural Sciences,1830,Member,Corresponding
Aug. J. Oemler,Academy of Natural Sciences,1812,Member,Corresponding
Michael J. O'Kelly,Academy of Natural Sciences,1816,Member,Corresponding
Denison Olmsted,Academy of Natural Sciences,1828,Member,Corresponding
M. Dessalines d'Orbigny,Academy of Natural Sciences,1834,Member,Corresponding
Richard Owen,Academy of Natural Sciences,1834,Member,Corresponding
John Palmer,Academy of Natural Sciences,1817,Member,Corresponding
M. M. Parent,Academy of Natural Sciences,1820,Member,Corresponding
Samuel Parkes,Academy of Natural Sciences,1821,Member,Corresponding
Joseph Barclay Pentland,Academy of Natural Sciences,1821,Member,Corresponding
Jacob Perkins,Academy of Natural Sciences,1813,Member,Corresponding
Robert Peter,Academy of Natural Sciences,1835,Member,Corresponding
Henry Piddington,Academy of Natural Sciences,1835,Member,Corresponding
Zina Pitcher,Academy of Natural Sciences,1830,Member,Corresponding
W. Pierpont,Academy of Natural Sciences,1812,Member,Corresponding
M. Pinel,Academy of Natural Sciences,1815,Member,Corresponding
Joseph Xavier Poli,Academy of Natural Sciences,1820,Member,Corresponding
Joel R. Poinsett,Academy of Natural Sciences,1829,Member,Corresponding
T. D. Porter,Academy of Natural Sciences,1822,Member,Corresponding
M. Alexandre Poutrel,Academy of Natural Sciences,1812,Member,Corresponding
M. Constant Prevost,Academy of Natural Sciences,1823,Member,Corresponding
